Time,Col2,Col3,Position,Col5
0.008,,,,0.00025469006429626554
0.016,,,,0.0002489924568032608
0.024,,,,0.00023760725518718635
0.032,,,,0.00023760725518718635
0.04,,,,0.0002262120402011769
0.048,,,,0.0002262120402011769
0.056,,,,0.0002205144327081722
0.064,,,,0.0002205144327081722
0.072,,,,0.0002148168252151675
0.08,,,,0.0002148168252151675
0.088,,,,0.0002148168252151675
0.096,,,,0.0002148168252151675
0.104,,,,0.0002148168252151675
0.112,,,,0.0002148168252151675
0.12,,,,0.0002148168252151675
0.128,,,,0.0002148168252151675
0.136,,,,0.0002148168252151675
0.144,,,,0.0002148168252151675
0.152,,,,0.0002148168252151675
0.16,,,,0.0002148168252151675
0.168,,,,0.0002148168252151675
0.176,,,,0.0002148168252151675
0.184,,,,0.0002148168252151675
0.192,,,,0.0002148168252151675
0.2,,,,0.0002148168252151675
0.208,,,,0.0002148168252151675
0.216,,,,0.00020912923109209775
0.224,,,,0.00020912923109209775
0.232,,,,0.00020912923109209775
0.24,,,,0.00020912923109209775
0.248,,,,0.00020912923109209775
0.256,,,,0.0002148168252151675
0.264,,,,0.0002148168252151675
0.272,,,,0.0002148168252151675
0.28,,,,0.00020912923109209775
0.288,,,,0.00020912923109209775
0.296,,,,0.00020912923109209775
0.304,,,,0.00020912923109209775
0.312,,,,0.00020912923109209775
0.32,,,,0.00020912923109209775
0.328,,,,0.00020912923109209775
0.336,,,,0.00020912923109209775
0.344,,,,0.00020912923109209775
0.352,,,,0.00020912923109209775
0.36,,,,0.00020912923109209775
0.368,,,,0.00020912923109209775
0.376,,,,0.00020912923109209775
0.384,,,,0.00020912923109209775
0.392,,,,0.00020912923109209775
0.4,,,,0.00020912923109209775
0.408,,,,0.00020912923109209775
0.416,,,,0.00020912923109209775
0.424,,,,0.00020912923109209775
0.432,,,,0.00020912923109209775
0.44,,,,0.00020912923109209775
0.448,,,,0.00020912923109209775
0.456,,,,0.00020912923109209775
0.464,,,,0.00020912923109209775
0.472,,,,0.00020912923109209775
0.48,,,,0.0002148168252151675
0.488,,,,0.0002148168252151675
0.496,,,,0.0002148168252151675
0.504,,,,0.0002148168252151675
0.512,,,,0.0002148168252151675
0.52,,,,0.0002148168252151675
0.528,,,,0.0002148168252151675
0.536,,,,0.0002148168252151675
0.544,,,,0.0002148168252151675
0.552,,,,0.0002148168252151675
0.56,,,,0.0002148168252151675
0.568,,,,0.0002148168252151675
0.576,,,,0.0002148168252151675
0.584,,,,0.0002148168252151675
0.592,,,,0.0002148168252151675
0.6,,,,0.0002148168252151675
0.608,,,,0.0002148168252151675
0.616,,,,0.0002148168252151675
0.624,,,,0.0002148168252151675
0.632,,,,0.0002148168252151675
0.64,,,,0.0002148168252151675
0.648,,,,0.0002148168252151675
0.656,,,,0.0002148168252151675
0.664,,,,0.0002148168252151675
0.672,,,,0.0002148168252151675
0.68,,,,0.0002148168252151675
0.688,,,,0.0002148168252151675
0.696,,,,0.0002148168252151675
0.704,,,,0.0002148168252151675
0.712,,,,0.0002148168252151675
0.72,,,,0.0002148168252151675
0.728,,,,0.0002148168252151675
0.736,,,,0.0002148168252151675
0.744,,,,0.0002148168252151675
0.752,,,,0.0002148168252151675
0.76,,,,0.0002148168252151675
0.768,,,,0.0002148168252151675
0.776,,,,0.0002148168252151675
0.784,,,,0.0002148168252151675
0.792,,,,0.0002148168252151675
0.8,,,,0.0002148168252151675
0.808,,,,0.0002148168252151675
0.816,,,,0.0002148168252151675
0.824,,,,0.0002148168252151675
0.832,,,,0.0002148168252151675
0.84,,,,0.0002148168252151675
0.848,,,,0.0002148168252151675
0.856,,,,0.0002148168252151675
0.864,,,,0.0002148168252151675
0.872,,,,0.0002148168252151675
0.88,,,,0.0002148168252151675
0.888,,,,0.0002148168252151675
0.896,,,,0.0002148168252151675
0.904,,,,0.0002148168252151675
0.912,,,,0.0002148168252151675
0.92,,,,0.0002148168252151675
0.928,,,,0.0002148168252151675
0.936,,,,0.00020912923109209775
0.944,,,,0.00020912923109209775
0.952,,,,0.00020912923109209775
0.960001,,,,0.00020912923109209775
0.968001,,,,0.00020912923109209775
0.976001,,,,0.00020912923109209775
0.984001,,,,0.00020912923109209775
0.992001,,,,0.00020912923109209775
1.000001,,,,0.00020912923109209775
1.008001,,,,0.00020912923109209775
1.016001,,,,0.00020912923109209775
1.024001,,,,0.00020912923109209775
1.032001,,,,0.00020912923109209775
1.040001,,,,0.00020912923109209775
1.048001,,,,0.00020912923109209775
1.056001,,,,0.00020912923109209775
1.064001,,,,0.00020912923109209775
1.072001,,,,0.00020912923109209775
1.080001,,,,0.00020912923109209775
1.088001,,,,0.00020912923109209775
1.096001,,,,0.00020912923109209775
1.104001,,,,0.00020912923109209775
1.112001,,,,0.00020912923109209775
1.120001,,,,0.00020912923109209775
1.128001,,,,0.00020912923109209775
1.136001,,,,0.00020912923109209775
1.144001,,,,0.00020912923109209775
